CB063-2,CB063-2_AGTCAA_S7_L001,Eurotiomyces,Ascomycota
CB064-2,CB064-2_AGTTCC_S8_L001,Eurotiomyces,Ascomycota
CB065-2,CB065-2_CCGTCC_S9_L001,Eurotiomyces,Ascomycota
CB066-2,CB066-2_GTCCGC_S10_L001,Eurotiomyces,Ascomycota
CB138-2,CB138-2_CAGATC_S11_L001,Eurotiomyces,Ascomycota
CB144-2,CB144-2_ACTTGA_S12_L001,Eurotiomyces,Ascomycota
CB150-2,CB150-2_GATCAG_S13_L001,Eurotiomyces,Ascomycota
CB156-2,CB156-2_TAGCTT_S14_L001,Eurotiomyces,Ascomycota
CB162-2,CB162-2_GGCTAC_S15_L001,Eurotiomyces,Ascomycota
CB168-2,CB168-2_GTGAAA_S16_L001,Eurotiomyces,Ascomycota
CB174-2,CB174-2_GTTTCG_S17_L001,Eurotiomyces,Ascomycota
CB180-2,CB180-2_CGTACG_S18_L001,Eurotiomyces,Ascomycota
CB186-2,CB186-2_GAGTGG_S19_L001,Eurotiomyces,Ascomycota
CB192-2,CB192-2_ACTGAT_S20_L001,Eurotiomyces,Ascomycota
Dr_Anuradha_Fungal_WGS_S11,Dr_Anuradha_Fungal_WGS_S11,Eurotiomyces,Ascomycota
Dr_Anuradha_Fungal_WGS_S13,Dr_Anuradha_Fungal_WGS_S13,Eurotiomyces,Ascomycota
Dr_Anuradha_Fungal_WGS_S14,Dr_Anuradha_Fungal_WGS_S14,Eurotiomyces,Ascomycota
Dr_Anuradha_Fungal_WGS_S15,Dr_Anuradha_Fungal_WGS_S15,Eurotiomyces,Ascomycota
Dr_Anuradha_Fungal_WGS_S16,Dr_Anuradha_Fungal_WGS_S16,Eurotiomyces,Ascomycota
